,Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,club,year
34,"Stenglein, Tyson",4,5.25,1.75,1.5,6.75,0,0.25,0,0.75,1.5,1,0.75,0.5,0.5,0.5,0,2.75,3.75,0.25,0,0.5,0,ADL,1999
35,"Perrie, Ian",2,3.5,1,4,7.5,0,0,0.5,1,0.5,1.5,2.5,1,1,1,0,3,5,0.5,0,1,0,ADL,1999
36,"Howard, Dean",2,1,0,1.5,2.5,0,0,0,0,0,1,1,0.5,0.5,0.5,0,2.5,1.5,0,0,0,0,ADL,1999
37,"Marsh, Ben",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ADL,1999
0,"Ashcroft, Marcus",25,14.28,3.68,8.72,23,0.64,0.32,0,2.44,1.56,4.36,4.36,1.64,0.56,0.56,0.24,8.68,14.4,0.16,0.36,0.88,0.8,BRS,1999
1,"Scott, Chris",24,15.125,6.25,6.25,21.375,0.166666667,0.166666667,0.25,1.416666667,2.708333333,4.625,2,1.583333333,1.041666667,0.875,0.291666667,7.125,14.04166667,0.916666667,0.375,1.666666667,0.541666667,BRS,1999
2,"Akermanis, Jason",24,13.79166667,4.375,5.75,19.54166667,0.666666667,0.291666667,0,1.5,3.125,3.833333333,1.791666667,1.541666667,1.041666667,0.75,0.541666667,7.875,11.125,0.541666667,0.375,1.416666667,1.416666667,BRS,1999
3,"Lappin, Nigel",25,11.24,4.36,7.4,18.64,0.92,0.92,0.04,1.16,1.48,4.48,3.04,1.48,0.4,0.64,0.24,7.36,11.68,0.32,0.6,1.76,1.2,BRS,1999
4,"Heuskes, Adam",25,11.96,6.04,5.72,17.68,0.04,0.04,0.08,0.96,3.92,1.8,0.36,1.16,1.04,1,0.2,7.76,10.28,0.72,0.04,0.84,0.48,BRS,1999
5,"Black, Simon",22,11.81818182,3.181818182,7.090909091,18.90909091,0.863636364,0.636363636,0.272727273,2.727272727,0.727272727,4.636363636,4.909090909,1.545454545,0.954545455,1.181818182,0.409090909,9.272727273,10.09090909,0.181818182,0.5,1.363636364,0.272727273,BRS,1999
6,"Hart, Shaun",23,11.82608696,3.260869565,5.260869565,17.08695652,0.782608696,0.304347826,0,1.52173913,1.391304348,3.217391304,2.47826087,1.043478261,0.826086957,0.782608696,0.260869565,7.217391304,9.086956522,0.086956522,0.304347826,2.565217391,0.826086957,BRS,1999
7,"Voss, Michael",21,11.80952381,3,6.904761905,18.71428571,1.095238095,0.619047619,0.142857143,1.619047619,0.714285714,4.095238095,4.904761905,0.952380952,1.095238095,0.761904762,0.476190476,9.047619048,9.857142857,0.523809524,0.857142857,1.523809524,0.428571429,BRS,1999
8,"White, Darryl",25,9.6,5.16,4.48,14.08,0.56,0.36,0.88,1.84,1.24,2.28,1.24,1.12,1,1.48,0.04,6.72,7.28,1.72,0.4,1.64,0.72,BRS,1999
9,"McRae, Craig",24,11.125,2.875,3.041666667,14.16666667,1.708333333,1.333333333,0,1.541666667,0.416666667,3.375,1.333333333,0.916666667,1.333333333,0.833333333,0.125,6.416666667,7.416666667,0.416666667,0.833333333,0.833333333,0.166666667,BRS,1999
10,"Leppitsch, Justin",25,9.68,5.16,3.44,13.12,0.56,0.48,0.24,1.2,3.8,0.92,0.36,1.32,0.96,0.92,0.32,5.4,7.04,1.64,0.68,1.76,1.4,BRS,1999
11,"Lawrence, Steven",24,8.166666667,3.625,5.25,13.41666667,0.5,0.333333333,0,0.75,1.666666667,1.958333333,0.541666667,1.083333333,1,0.958333333,0.208333333,6.208333333,7.708333333,0.5,0.416666667,1.041666667,0.708333333,BRS,1999
12,"Kennedy, Matthew",24,7.875,4.375,4.416666667,12.29166667,0.125,0.041666667,0.916666667,1,2.875,1.916666667,0.416666667,1,0.791666667,0.875,0,3.416666667,8.541666667,0.25,0.041666667,1.125,1.375,BRS,1999
13,"Molloy, Jarrod",21,7.523809524,2.714285714,3.666666667,11.19047619,2.095238095,1.333333333,0.619047619,0.857142857,0.095238095,2,0.619047619,1.238095238,0.571428571,1.619047619,0.142857143,7.285714286,3.619047619,1.476190476,1.714285714,2,0,BRS,1999
14,"Power, Luke",16,9.8125,2.625,4.75,14.5625,1.0625,0.9375,0,1.375,0.375,2.9375,1.0625,1.25,0.875,0.5625,0,7.25,6.6875,0.375,0.625,0.625,0.5,BRS,1999
15,"Champion, Richard",19,9,3.157894737,3.210526316,12.21052632,0.894736842,0.578947368,0.315789474,1.368421053,0.315789474,4.263157895,0.631578947,1.526315789,0.684210526,1.210526316,0.052631579,5.368421053,6.947368421,0.842105263,0.368421053,0.842105263,0.526315789,BRS,1999
16,"Lambert, Craig",14,5.714285714,0.928571429,10.57142857,16.28571429,0.142857143,0.285714286,0,1.571428571,0.642857143,1.428571429,4.928571429,1.428571429,0.857142857,0.714285714,0.071428571,6.571428571,9.571428571,0.071428571,0.142857143,1.071428571,0.142857143,BRS,1999
17,"Johnson, Chris",20,6.05,2.75,2.6,8.65,1.25,0.7,0,1.2,0.45,1.5,0.7,0.7,0.8,1.1,0.05,4.45,4.1,0.65,1,0.7,0.25,BRS,1999
18,"Boyd, Brad",8,12.25,4.125,8.375,20.625,0.875,0.875,0,1.875,0.75,4.25,5.125,1.25,1.125,0.625,0.375,7.75,13,0.5,1.25,2,0.25,BRS,1999
19,"OBree, Shane",12,9.25,2.083333333,3.333333333,12.58333333,0.25,0.083333333,0,1.416666667,2.75,0.916666667,1.5,0.666666667,0.583333333,0.916666667,0,3.75,8.5,0,0.166666667,0.916666667,0.75,BRS,1999
20,"Clarke, Matthew",21,3.19047619,1.619047619,3.761904762,6.952380952,0.142857143,0.047619048,21.33333333,0.428571429,0.476190476,1.428571429,2.904761905,0.476190476,0.666666667,1.619047619,0.095238095,4.380952381,2.904761905,0.571428571,0.095238095,1.047619048,0,BRS,1999
21,"Keating, Clark",21,4.523809524,2.523809524,1.666666667,6.19047619,0.857142857,0.333333333,17.04761905,0.857142857,0.428571429,1.761904762,1.571428571,0.619047619,1,0.857142857,0.285714286,4.19047619,2,1.095238095,0.761904762,1.476190476,0,BRS,1999
22,"Lynch, Alastair",17,5.823529412,3.705882353,1.588235294,7.411764706,1.823529412,1.176470588,0.352941176,0.470588235,0.764705882,0.470588235,0.235294118,1.470588235,0.882352941,1.882352941,0,4.294117647,2.941176471,1.882352941,2.235294118,0.823529412,0.235294118,BRS,1999
23,"Notting, Tim",12,6.5,3.5,3.5,10,1.083333333,0.833333333,0.083333333,0.583333333,0.416666667,2.833333333,0.083333333,1.666666667,0.083333333,0.583333333,0,5,5.25,1,1,0.75,0.416666667,BRS,1999
24,"Voss, Brett",12,4.083333333,1.916666667,3.5,7.583333333,0.416666667,0.166666667,0.083333333,1,0.5,1.083333333,1,0.666666667,0.333333333,0.166666667,0,3.583333333,4.083333333,0.333333333,0.333333333,1,0.166666667,BRS,1999
25,"Calthorpe, David",9,7,2,2.333333333,9.333333333,0.222222222,0,0,0.444444444,0.555555556,2.444444444,1.555555556,1,0.333333333,1,0,3.888888889,5.333333333,0.111111111,0.333333333,0.444444444,0,BRS,1999
26,"Scott, Brad",8,6.125,1.75,2,8.125,0,0.25,0.125,1.125,0.875,1.75,1,0.5,0.375,0.875,0,2.75,5.375,0,0.25,1.125,0,BRS,1999
27,"Robbins, Ben",5,5.8,1.4,4.8,10.6,0.6,0.2,0,1.6,0.8,1.4,2.8,0.4,0.4,0.8,0,4.4,6.8,0,0.6,0.2,0,BRS,1999
28,"Headland, Des",3,6.333333333,3,3.333333333,9.666666667,1.666666667,0.333333333,0,0.333333333,0.333333333,1.666666667,1,0.666666667,0.666666667,0.333333333,0,3.666666667,6,1,2.333333333,1,0,BRS,1999
29,"McKinnon, Martin",3,5,1.333333333,2.666666667,7.666666667,0.333333333,0.333333333,0,0.333333333,0,2.666666667,1.333333333,1,0,0.666666667,0,4.333333333,3.333333333,0.333333333,0.333333333,0.333333333,0,BRS,1999
30,"Picken, Marcus",4,2.75,2.25,2.25,5,0.25,1,0,0.75,0,1.5,0,0.25,0.5,0.5,0,3.25,2,1,0.75,0.5,0,BRS,1999
31,"Bartlett, Trent",5,1.6,1.4,0.8,2.4,0.6,0.4,0.2,0,0,0.4,0,0,0,0.2,0,1.6,1,0.6,1,0.2,0,BRS,1999
32,"Gowers, Andrew",2,4,2,1,5,0,1,0,1,0,3,0.5,1,0.5,1,0,0.5,5.5,0,0.5,0.5,0,BRS,1999
33,"Scott, Dion",2,2.5,0.5,1.5,4,0,0,1,0,1,0,0,0,1.5,0.5,0,2,2,0,0,0,0,BRS,1999
34,"Dickfos, Danny",2,2.5,1,0.5,3,0,0,0,0.5,0,0.5,0.5,1,1.5,0,0,2,0,1,0,0.5,0,BRS,1999
35,"McDonald, Beau",3,1.333333333,0.666666667,0.666666667,2,0,0,5.333333333,0.333333333,0.666666667,0.333333333,0,0.666666667,0,0,0,0,2,0,0,1.333333333,0,BRS,1999
0,"Ratten, Brett",26,13.46153846,2.615384615,12.30769231,25.76923077,0.538461538,0.192307692,0.230769231,3.807692308,1.307692308,3.653846154,10.19230769,1.769230769,1.076923077,1.230769231,0.153846154,12.84615385,13.46153846,0.269230769,0.5,1.5,0.038461538,CAR,1999
1,"Bradley, Craig",26,16.53846154,3.692307692,7.538461538,24.07692308,0.346153846,0.423076923,0.153846154,1.346153846,3.153846154,5.153846154,3.230769231,1.884615385,1.076923077,0.807692308,0.692307692,7.153846154,16.5,0.423076923,0.5,1.769230769,1.884615385,CAR,1999
2,"Murphy, Justin",23,13.30434783,5.260869565,10.60869565,23.91304348,0.782608696,0.652173913,0.043478261,1.043478261,1.608695652,4.086956522,2.434782609,2.52173913,0.739130435,1.217391304,0.130434783,7.304347826,17.34782609,0.434782609,0.52173913,0.826086957,0.347826087,CAR,1999
3,"Camporeale, Scott",23,16.52173913,3.956521739,6.347826087,22.86956522,1.304347826,0.869565217,0.043478261,1.391304348,1.739130435,5.52173913,3,2.304347826,1.086956522,1.173913043,0.173913043,7.260869565,16.30434783,0.173913043,0.739130435,1.043478261,0.434782609,CAR,1999
4,"McKay, Andrew",26,10.34615385,3.653846154,6.038461538,16.38461538,0.076923077,0.076923077,0.076923077,1.769230769,3.076923077,1.730769231,1.346153846,1.730769231,0.961538462,1.346153846,0.346153846,6.230769231,10.46153846,0.5,0.115384615,1.769230769,0.038461538,CAR,1999
5,"Beaumont, Simon",26,10.26923077,5.230769231,5.692307692,15.96153846,0.961538462,0.807692308,0.115384615,1.730769231,0.923076923,2.961538462,0.807692308,2.038461538,1.038461538,0.961538462,0.192307692,7.269230769,9.076923077,1.115384615,1.076923077,1,0.192307692,CAR,1999
6,"Allan, Matthew",26,8,6.230769231,7.576923077,15.57692308,0.730769231,0.538461538,27.53846154,0.5,0.730769231,2.730769231,2.961538462,1.538461538,1.538461538,1.230769231,0.769230769,6.5,9.384615385,1.230769231,0.923076923,1.153846154,0.115384615,CAR,1999
7,"Koutoufides, Anthony",20,11.8,5.8,8.2,20,0.45,0.25,1.25,0.95,2.7,2.1,2.95,2,0.8,0.65,0.3,10.25,9.75,1.95,0.65,0.8,0.45,CAR,1999
8,"Lappin, Matthew",25,9.84,4.6,5.96,15.8,1.32,0.84,0.04,1,0.28,3.16,0.84,2.08,0.68,0.64,0,6.88,9.08,1.4,1.36,0.52,0.32,CAR,1999
9,"Whitnall, Lance",26,10.23076923,7.346153846,4.538461538,14.76923077,2.115384615,1.384615385,3.115384615,0.846153846,0.461538462,3.423076923,0.730769231,2.538461538,1.384615385,0.769230769,0,7.153846154,7.653846154,2.5,3.038461538,1.269230769,0.038461538,CAR,1999
10,"Brown, Fraser",19,11.57894737,2.947368421,8.526315789,20.10526316,0.263157895,0.315789474,0.105263158,1.736842105,0.631578947,4.315789474,5.210526316,1.789473684,0.947368421,1,0.157894737,7.526315789,13.78947368,0.315789474,0.473684211,1.052631579,0.263157895,CAR,1999
11,"Sexton, Michael",24,10.33333333,3.916666667,4.916666667,15.25,0.208333333,0.208333333,0.5,0.916666667,2.833333333,1.916666667,1.041666667,1.333333333,0.791666667,0.791666667,0.083333333,5.708333333,9.666666667,0.75,0.125,0.875,0.041666667,CAR,1999
12,"Hamill, Aaron",26,8.038461538,4.384615385,5.538461538,13.57692308,1.307692308,0.769230769,0.384615385,2.230769231,0.269230769,2.5,1.115384615,1.923076923,1.384615385,1.307692308,0,7.423076923,6.538461538,1.423076923,1.384615385,1.346153846,0,CAR,1999
13,"Silvagni, Stephen",24,9,4.5,4.875,13.875,0.625,0.833333333,0.208333333,1.041666667,3.166666667,0.875,0.5,1.208333333,1.125,1.041666667,0.083333333,6.083333333,7.541666667,1.333333333,0.958333333,1.791666667,0.375,CAR,1999
14,"Rice, Dean",24,8.25,2.791666667,4.25,12.5,0.208333333,0.208333333,0,0.958333333,2.666666667,1.208333333,1.125,1.416666667,1.041666667,1.041666667,0,5.291666667,7.541666667,0.5,0.125,1.083333333,0.083333333,CAR,1999
15,"Manton, Glenn",26,4.038461538,4.461538462,7.269230769,11.30769231,0.076923077,0.230769231,0.384615385,0.923076923,2.115384615,0.346153846,0.423076923,0.884615385,0.884615385,0.692307692,0,4.846153846,6.346153846,0.961538462,0.192307692,0.846153846,0.115384615,CAR,1999
16,"Nelson, Ben",21,7.142857143,3.285714286,5.666666667,12.80952381,0.285714286,0.047619048,0,1.333333333,1.714285714,1.80952381,1.428571429,0.904761905,0.857142857,0.476190476,0,5.666666667,7.476190476,0.476190476,0.285714286,1.19047619,0.047619048,CAR,1999
17,"Hickmott, Adrian",19,6.368421053,3.789473684,5,11.36842105,0.315789474,0.210526316,0.052631579,1,1.157894737,1.105263158,0.736842105,0.947368421,0.578947368,0.526315789,0,4.789473684,6.789473684,0.631578947,0.368421053,1.684210526,0,CAR,1999
18,"Franchina, Anthony",13,7.538461538,2.461538462,4.461538462,12,0.307692308,0.230769231,0,1.153846154,2.230769231,1.076923077,1.538461538,1.153846154,0.846153846,1.923076923,0,5.615384615,6.692307692,0.230769231,0.230769231,0.692307692,0.076923077,CAR,1999
19,"Hulme, Darren",13,5.384615385,1.846153846,6.461538462,11.84615385,0.923076923,0.153846154,0,1.076923077,0.846153846,1.384615385,2.076923077,1.230769231,0.538461538,0.692307692,0,5.307692308,6.769230769,0.153846154,0.461538462,0.692307692,0.153846154,CAR,1999
20,"White, Adam",18,4.777777778,2.944444444,3.333333333,8.111111111,0.444444444,0.333333333,0.111111111,0.5,0.222222222,1.277777778,0.5,0.777777778,0.166666667,0.444444444,0,2.5,5.722222222,0.277777778,0.777777778,0.5,0.055555556,CAR,1999
21,"Massie, Kris",13,5.923076923,3.384615385,4.230769231,10.15384615,0.538461538,0.384615385,0.076923077,1.076923077,0.461538462,1.538461538,0.923076923,1.153846154,0.461538462,0.538461538,0.076923077,3.615384615,6.846153846,0.538461538,0.692307692,0.769230769,0.307692308,CAR,1999
22,"Christou, Ang",11,7.909090909,1.909090909,3.272727273,11.18181818,0,0,0.090909091,0.909090909,3,1.454545455,0.727272727,1.363636364,0.636363636,0.727272727,0,3.363636364,6.818181818,0.181818182,0.090909091,1.181818182,0.727272727,CAR,1999
23,"De Iulio, Ron",13,7.076923077,2.461538462,2.230769231,9.307692308,0.076923077,0.384615385,0.076923077,0.615384615,1.076923077,1.846153846,0.461538462,1.461538462,0.615384615,1.230769231,0,2.538461538,7.153846154,0.076923077,0.230769231,0.538461538,0,CAR,1999
24,"Fletcher, Simon",10,6.3,2.6,4.7,11,0.5,0.4,0.1,0.5,0.2,2.6,0.6,0.7,0.2,0.4,0,2.8,8.6,0.2,0.6,1.3,0.1,CAR,1999
25,"Backwell, Brett",11,6.181818182,1.727272727,2.909090909,9.090909091,0.636363636,0.727272727,0,0.636363636,0.454545455,2.272727273,1.454545455,1.454545455,1.181818182,0.909090909,0.090909091,5,3.909090909,0,0.272727273,1.181818182,0.090909091,CAR,1999
26,"Pearce, Brad",12,5,3.166666667,0.833333333,5.833333333,1.333333333,1,0,0.416666667,0,0.916666667,0.25,0.75,0.25,0.666666667,0,2.416666667,3.75,0.333333333,1.916666667,0.25,0.083333333,CAR,1999
27,"Culpitt, Heath",6,3.833333333,1,2.666666667,6.5,0.333333333,0.5,0,0.5,0.166666667,1.166666667,0.833333333,0.666666667,0,1,0,2,4.166666667,0,0.166666667,0.333333333,0.166666667,CAR,1999
28,"Lock, Damien",4,3.75,0.75,4.5,8.25,0,0,0,0.5,0.5,1,1,0.5,0.25,0,0,1.75,6.5,0,0,0.5,0,CAR,1999
29,"Hogg, Matthew",7,3.285714286,0.714285714,1.285714286,4.571428571,0.142857143,0.142857143,0,0.571428571,0.571428571,1.285714286,0.285714286,0.285714286,0.428571429,0.142857143,0,1,3.428571429,0,0,0.857142857,0.428571429,CAR,1999
30,"Vance, Murray",4,2.5,1.5,1.75,4.25,0.25,0,0,0.75,0,1.75,0.25,0.25,0.5,0.75,0,2.25,2.5,0,0.25,0.25,0,CAR,1999
31,"Bourke, Tony",3,0.666666667,0.333333333,2.666666667,3.333333333,0,0,6.333333333,0.333333333,0,0.333333333,1,0.333333333,0,0.333333333,0,2.333333333,0.666666667,0.333333333,0,0.333333333,0,CAR,1999
32,"Whitehead, Adrian",1,1,0,6,7,0,0,0,1,0,0,2,2,1,0,0,4,3,0,0,0,0,CAR,1999
33,"Thompson, Ben",1,3,1,1,4,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,CAR,1999
34,"Fevola, Brendan",2,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,CAR,1999
0,"Buckley, Nathan",17,22.23529412,4.941176471,7.352941176,29.58823529,1.235294118,0.470588235,0.352941176,2.058823529,1.941176471,6.823529412,5.882352941,2.705882353,1.117647059,0.941176471,1.176470588,12.76470588,17.17647059,0.941176471,0.470588235,1.588235294,1.352941176,COL,1999
1,"Lane, Tyson",20,12.8,4.8,4.15,16.95,1.1,0.6,0,0.85,1.95,3.5,1.25,1.8,0.4,0.8,0.2,5.85,11.2,0.65,0.85,1.05,0.25,COL,1999
2,"Burns, Scott",15,13.26666667,5.533333333,8.533333333,21.8,0.666666667,0.333333333,0.4,1.933333333,4.133333333,3,2.8,1.8,1.6,1.2,0.066666667,9.4,12.73333333,0.666666667,0.2,1.266666667,0.133333333,COL,1999
3,"Freeborn, Glenn",22,8.727272727,2.727272727,5.272727273,14,0.727272727,0.590909091,0.045454545,1.5,1.363636364,1.909090909,1.545454545,1.409090909,0.909090909,0.681818182,0,6.590909091,6.909090909,0.363636364,0.636363636,1.363636364,1.272727273,COL,1999
4,"Williams, Paul",17,12.11764706,2.705882353,5.764705882,17.88235294,0.823529412,0.529411765,0,1,2.058823529,3.941176471,2.294117647,1.705882353,1.117647059,0.941176471,0.117647059,6.647058824,11.64705882,0.411764706,0.117647059,0.882352941,1.058823529,COL,1999
5,"Betheras, Rupert",16,9.3125,3.25,9.25,18.5625,0.5,0.25,0.0625,1.9375,0.9375,3.4375,3.75,1.6875,1.3125,1,0,8.5625,10.5625,0.5,0.4375,1.1875,0.375,COL,1999
